연번,전체기관명,도로명주소,geometry
178,경찰청 서울특별시경찰청 서울종암경찰서 월곡지구대,서울특별시 성북구  종암로32길 5 월곡지구대,[127.032413134442 37.6044172376097]
179,경찰청 서울특별시경찰청 서울종암경찰서 종암파출소,서울특별시 성북구  종암로23길 52,[127.031262883025 37.6000955868312]
180,경찰청 서울특별시경찰청 서울구로경찰서 신구로지구대,서울특별시 구로구 새말로 26 신구로지구대,[126.88389609812 37.5022709315884]
181,경찰청 서울특별시경찰청 서울구로경찰서 오류지구대,서울특별시 구로구  고척로1길 34 오류지구대,[126.838842200207 37.4948162993423]
182,경찰청 서울특별시경찰청 서울구로경찰서 구일지구대,서울특별시 구로구  도림로 63 구일지구대,[126.890700200107 37.4892521149095]
183,경찰청 서울특별시경찰청 서울구로경찰서 고척지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,[126.858302326165 37.5066010740517]
184,경찰청 서울특별시경찰청 서울구로경찰서 개봉지구대,서울특별시 구로구  개봉로18길 5 개봉지구대,[126.856448965021 37.4918322570645]
185,경찰청 서울특별시경찰청 서울구로경찰서 구로3파출소,서울특별시 구로구  디지털로31길 86 구로3파출소,[126.891399918226 37.4866606515713]
186,경찰청 서울특별시경찰청 서울구로경찰서 가리봉파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,[126.892660335738 37.4792089328892]
187,경찰청 서울특별시경찰청 서울구로경찰서 천왕파출소,서울특별시 구로구 오리로 1102-8,[126.842566829176 37.4838517431807]
188,경찰청 서울특별시경찰청 서울서초경찰서 반포지구대,서울특별시 서초구 신반포로190,[127.005186250271 37.5059651429834]
189,경찰청 서울특별시경찰청 서울서초경찰서 서초2파출소,서울 서초구 서운로 38,[127.028982195737 37.4875206192926]
190,경찰청 서울특별시경찰청 서울서초경찰서 서초3파출소,서울 서초구 반포대로30길 40,[127.010793588595 37.4919750194143]
191,경찰청 서울특별시경찰청 서울서초경찰서 양재파출소,서울 서초구 남부순환로356길 9,[127.037855508801 37.4845457734066]
192,경찰청 서울특별시경찰청 서울서초경찰서 서초파출소,서울 서초구 효령로 297,[127.016737938236 37.4852860553806]
193,경찰청 서울특별시경찰청 서울서초경찰서 우면파출소,서울 서초구 바우뫼로 45,[127.02717338355 37.4718583556533]
194,경찰청 서울특별시경찰청 서울서초경찰서 내곡파출소,서울특별시 서초구 헌릉로 226,[127.064923534654 37.4549491368394]
195,경찰청 서울특별시경찰청 서울양천경찰서 목1지구대,서울특별시 양천구  목동동로 373,[126.878458075374 37.535155935841]
196,경찰청 서울특별시경찰청 서울양천경찰서 목2지구대,서울특별시 양천구  등촌로 166,[126.862364416594 37.544527409853]
197,경찰청 서울특별시경찰청 서울양천경찰서 신정1지구대,서울특별시 양천구  중앙로32길 65,[126.860768123276 37.5202997079635]
198,경찰청 서울특별시경찰청 서울양천경찰서 신정2지구대,서울특별시 양천구 목동로17길 5,[126.863575783703 37.5244524591257]
199,경찰청 서울특별시경찰청 서울양천경찰서 신월2지구대,서울특별시 양천구 지양로 55,[126.834388421956 37.5205420022268]
200,경찰청 서울특별시경찰청 서울양천경찰서 신월1파출소,서울특별시 양천구  남부순환로59길 8 ,[126.832251816573 37.5320545919305]
201,경찰청 서울특별시경찰청 서울양천경찰서 신정3파출소,서울특별시 양천구  중앙로 205,[126.854985652216 37.5149191698884]
202,경찰청 서울특별시경찰청 서울양천경찰서 신월5파출소,서울특별시 양천구  남부순환로31길 37,[126.830673512582 37.5390738299023]
203,경찰청 서울특별시경찰청 서울송파경찰서 방이지구대,서울특별시 송파구  양재대로71길 5-6,[127.125745677803 37.5102477467123]
