시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,27.99,202211,16,"3,000",55,21,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,17,"9,000",0,12,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,18,"9,000",0,7,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,19,"13,000",0,11,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,22,"9,000",0,7,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,23,"14,500",0,10,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,23,"12,500",0,23,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,23,"14,000",0,22,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,21.8,202211,23,"4,000",30,14,2022.0,서오릉로 625,126.873012673643,37.6346407784137,-,-,-,,
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,21.8,202211,23,"3,000",40,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,24,"12,500",0,16,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,25,"12,000",0,15,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,27.99,202211,26,"4,000",52,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202312,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,26,"12,500",0,9,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,26,"12,900",0,11,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202301~202501,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,28,"10,000",0,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,28,"14,500",0,9,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,27.99,202211,28,"1,000",68,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202312,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,29,"12,000",0,8,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,27.99,202211,30,"4,000",55,18,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,972,972,0,더하이브 A타워,전세,29.99,202211,12,"13,000",0,2,2022.0,의장로 114,126.873103127584,37.6339475677673,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,972,972,0,더하이브 A타워,월세,25.81,202211,30,"12,000",10,9,2022.0,의장로 114,126.873103127584,37.6339475677673,202212~202412,신규,-,0,0.0
경기도 고양덕양구 도내동,974,974,0,더하이브 B타워,전세,24.53,202211,18,"11,800",0,10,2022.0,의장로 116,126.872833909244,37.6337692432629,202212~202412,신규,-,0,0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,전세,82.76,202211,4,"50,000",0,6,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,202211~202407,갱신,사용,"50,000",0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,75.94,202211,7,"3,000",145,21,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,202211~202411,신규,-,0,0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,82.76,202211,9,"4,500",170,14,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,202212~202412,신규,-,0,0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,75.94,202211,12,"25,000",50,10,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,202302~202502,신규,-,0,0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,75.94,202211,12,"10,000",60,16,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,202212~202412,신규,-,0,0.0
경기도 고양덕양구 동산동,368-2,368,2,e편한세상 시티 삼송2차,월세,75.94,202211,13,"10,000",60,16,2019.0,덕수천2로 150,126.895795928553,37.6486125857708,-,-,-,,
