학교구분,학교명,본분교,지역,주소,geometry
대학,목원대학교,본교,대전,"대전광역시 서구 도안북로 88 (도안동, 목원대학교) ",[127.337446736796 36.328866131856]
대학,배재대학교,본교,대전,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교) ",[127.366074460163 36.3232382774419]
대학,부산가톨릭대학교,본교,부산,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교) ",[129.096871971614 35.2446753071785]
대학,부산외국어대학교,본교,부산,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교) ",[129.08055329643 35.2661894921034]
대학,삼육대학교,본교,서울,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) ",[127.108850343184 37.643357369067]
대학,상명대학교,본교,서울,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) ",[126.955159496571 37.604108905882]
대학,상지대학교,본교,강원,"강원도 원주시 상지대길 83 (우산동, 상지대학교) ",[127.929915065919 37.3691192870384]
대학,서강대학교,본교,서울,"서울특별시 마포구 백범로 35 (신수동, 서강대학교) ",[126.943024997981 37.5514693075541]
대학,서경대학교,본교,서울,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교) ",[127.013565764354 37.6154147804327]
대학,서울신학대학교,본교,경기,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교) ",[126.790003509195 37.4783249527733]
대학,서울여자대학교,본교,서울,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) ",[127.091621159803 37.6273815936787]
대학,서울장신대학교,본교,경기,"경기도 광주시 경안로 145 (경안동, 서울장신대학교) ",[127.245540620832 37.4091640890664]
대학,서원대학교,본교,충북,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교) ",[127.482117612634 36.6259797378128]
대학,선문대학교,본교,충남,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교) ",[127.075732161892 36.8010404471004]
대학,성결대학교,본교,경기,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교) ",[126.928810441112 37.379865723701]
대학,성공회대학교,본교,서울,"서울특별시 구로구 연동로 320 (항동, 성공회대학교) ",[126.826163535057 37.4875235978289]
대학,성균관대학교,본교,서울,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교) ",[126.993115116294 37.5872284082508]
대학,성신여자대학교,본교,서울,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교) ",[127.02214561649 37.5916524767249]
대학,세명대학교,본교,충북,"충청북도 제천시 세명로 65 (신월동, 세명대학교) ",[128.19615854481 37.173842353131]
대학,세종대학교,본교,서울,"서울특별시 광진구 능동로 209 (군자동, 세종대학교) ",[127.07318364213 37.5516093089619]
대학,수원가톨릭대학교,본교,경기,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교) ",[126.933337951201 37.1958155074953]
대학,수원대학교,본교,경기,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",[126.979480352479 37.2101174847642]
대학,숙명여자대학교,본교,서울,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) ",[126.965412466897 37.5452862346703]
대학,순천향대학교,본교,충남,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교) ",[126.928936482966 36.7683515094009]
대학,숭실대학교,본교,서울,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",[126.955157917408 37.4964289688636]
대학,신라대학교,본교,부산,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) ",[128.99779692981 35.1720524953802]
대학,아신대학교,본교,경기,경기도 양평군 옥천면 경강로 1276 아신대학교,[127.428928259716 37.5112170735026]
대학,아주대학교,본교,경기,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교) ",[127.043660039022 37.2830563756566]
대학,안양대학교,본교,경기,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) ",[126.92052628235 37.3917681912577]
대학,안양대학교,제2캠퍼스,인천,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스) ",[126.444711004732 37.7110033177909]
대학,연세대학교,본교,서울,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교) ",[126.943916239886 37.5660508394158]
대학,연세대학교(미래),분교,강원,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,[127.904328263667 37.2748178663996]
대학,영남대학교,본교,경북,"경상북도 경산시 대학로 280 (대동, 영남대학교) ",[128.75218013148 35.8304916312343]
대학,영남신학대학교,본교,경북,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교) ",[128.818066570159 35.8803963728555]
대학,유원대학교,본교,충북,충청북도 영동군 영동읍 대학로 310 ,[127.799085400924 36.1958945383408]
대학,영산선학대학교,본교,전남,전라남도 영광군 백수읍 성지로 1357 (길용리) ,[126.441339990491 35.3273523314123]
대학,용인대학교,본교,경기,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교) ",[127.170724286597 37.2278788825761]
대학,우석대학교,본교,전북,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교) ",[127.067811682884 35.9115764544703]
대학,울산대학교,본교,울산,"울산광역시 남구 대학로 93 (무거동, 울산대학교) ",[129.257425346502 35.54183711963]
대학,원광대학교,본교,전북,"전라북도 익산시 익산대로 460 (신동, 원광대학교) ",[126.960223680824 35.9717139651945]
대학,위덕대학교,본교,경북,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교) ",[129.28259064119 36.016111123839]
대학,을지대학교,본교,대전,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스) ",[127.405571713904 36.3330222089918]
대학,을지대학교,제2캠퍼스,경기,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교) ",[127.165146797398 37.4609789114509]
대학,이화여자대학교,본교,서울,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교) ",[126.950288837762 37.5644645178259]
대학,인제대학교,본교,경남,"경상남도 김해시 인제로 197 (어방동, 인제대학교) ",[128.900515324646 35.2528100895983]
대학,인제대학교,제2캠퍼스,부산,"부산광역시 부산진구 복지로 75 (개금동, 백병원) ",[129.020571153957 35.1464534842515]
대학,인천가톨릭대학교,제2캠퍼스,인천,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교,[126.663507651408 37.3726238502475]
대학,인천가톨릭대학교,본교,인천,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교) ",[126.450008257437 37.6566734151903]
대학,인하대학교,본교,인천,인천광역시 미추홀구 인하로 100(용현동) 인하대학교,[126.651542258118 37.4514480321002]
대학,장로회신학대학교,본교,서울,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) ",[127.103315027061 37.5498636303997]
대학,전주대학교,본교,전북,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교) ",[127.088884123482 35.8161641666537]
대학,조선대학교,본교,광주,광주광역시 동구 조선대길 146(서석동) ,[126.93472378449 35.1427410156916]
대학,중부대학교,본교,충남,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교) ",[127.448703841954 36.1919714420686]
대학,중앙대학교,제2캠퍼스,경기,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교) ",[127.228708651132 37.0004292004148]
대학,중앙대학교,본교,서울,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교) ",[126.953833907628 37.5047267237807]
대학,중앙승가대학교,본교,경기,"경기도 김포시 승가로 147 (풍무동, 중앙승가대학) ",[126.706375309859 37.6091860168389]
대학,백석대학교,본교,충남,충청남도 천안시 동남구 백석대학로 1 (안서동) ,[127.182520646399 36.8388372068096]
대학,청주대학교,본교,충북,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) ",[127.495199134623 36.6508565012441]
대학,총신대학교,본교,서울,"서울특별시 동작구 사당로 143 (사당동, 총신대학교) ",[126.966763108256 37.4879290070931]
대학,추계예술대학교,본교,서울,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교) ",[126.954059321222 37.5631767195176]
대학,한국침례신학대학교,본교,대전,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학) ",[127.323044548494 36.3847093350448]
대학,칼빈대학교,본교,경기,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교) ",[127.128686425614 37.3051459316977]
대학,평택대학교,본교,경기,"경기도 평택시 서동대로 3825 (용이동, 평택대학교) ",[127.133968496931 36.9946392307399]
대학,차의과학대학교,본교,경기,"경기도 포천시 해룡로 120 (동교동, 포천중문의과대학) 차의과학대학교",[127.137549418787 37.8560144127676]
대학,포항공과대학교,본교,경북,"경상북도 포항시 남구 청암로 77 (지곡동, 포항공과대학교) ",[129.321301170832 36.0105883055805]
대학,한국기술교육대학교,본교,충남,"충청남도 천안시 동남구 병천면 충절로 1600 (가전리, 한국기술교육대학교) ",[127.281200389603 36.765104950533]
대학,한국성서대학교,본교,서울,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교) ",[127.063750963519 37.6489617715837]
대학,한국외국어대학교,본교,서울,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) ",[127.057942413722 37.5982966771548]
대학,한국항공대학교,본교,경기,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교) ",[126.864172526764 37.5990163344733]
대학,한남대학교,본교,대전,"대전광역시 대덕구 한남로 70 (오정동, 한남대학교) ",[127.419951766947 36.3555640023271]
대학,한동대학교,본교,경북,"경상북도 포항시 북구 흥해읍 한동로 558 (남송리, 한동대학교) ",[129.389266058166 36.1023014256562]
대학,한라대학교,본교,강원,"강원도 원주시 흥업면 한라대길 28 (흥업리, 한라대학교) ",[127.906918959953 37.303976829171]
대학,한림대학교,본교,강원,"강원도 춘천시 한림대학길 1 (옥천동, 한림대학교) ",[127.734962063258 37.8854275477545]
대학,한서대학교,본교,충남,"충청남도 서산시 해미면 한서1로 46 (대곡리, 한서대학교) ",[126.586964768503 36.6907152767617]
